state,cause,transform,base_OOF_R2,new_OOF_R2,delta_R2
Индекс кредитного оптимизма,Количество лет образования,log_shift,0.9173,0.9208,0.0035
Индекс кредитного оптимизма,Количество лет образования,sqrt_shift,0.9173,0.9207,0.0034
Индекс кредитного оптимизма,Количество лет образования,inv_shift,0.9173,0.9207,0.0034
Индекс кредитного оптимизма,Количество лет образования,z4,0.9173,0.9204,0.0031
Индекс кредитного оптимизма,Количество лет образования,log1p,0.9173,0.9204,0.0031
Индекс кредитного оптимизма,Количество лет образования,cbrt,0.9173,0.9204,0.0031
Индекс кредитного оптимизма,Количество лет образования,sqrt,0.9173,0.9203,0.003
Индекс кредитного оптимизма,Количество лет образования,z2,0.9173,0.9198,0.0025
Индекс кредитного оптимизма,Количество лет образования,low_q25,0.9173,0.9197,0.0024
Индекс кредитного оптимизма,Количество лет образования,hinge_q25,0.9173,0.9197,0.0024
Индекс кредитного оптимизма,Количество лет образования,hinge_q50,0.9173,0.9195,0.0022
Индекс кредитного оптимизма,Количество лет образования,abs_z,0.9173,0.9193,0.002
Индекс семьи,"Среднегодовой доход, тыс. $",z2,0.4727,0.4742,0.0015
Индекс семьи,"Среднегодовой доход, тыс. $",hinge_q75,0.4727,0.4742,0.0015
Индекс семьи,"Среднегодовой доход, тыс. $",sqrt,0.4727,0.4742,0.0015
Индекс кредитного оптимизма,Количество лет образования,z3,0.9173,0.9188,0.0015
Индекс семьи,"Среднегодовой доход, тыс. $",sqrt_shift,0.4727,0.474,0.0013
Индекс семьи,"Среднегодовой доход, тыс. $",cbrt,0.4727,0.474,0.0013
Индекс кредитного оптимизма,Количество лет образования,hinge_q75,0.9173,0.9182,0.0009
Индекс семьи,"Среднегодовой доход, тыс. $",log1p,0.4727,0.4735,0.0008
Индекс семьи,"Среднегодовой доход, тыс. $",z3,0.4727,0.4734,0.0007
Индекс семьи,"Среднегодовой доход, тыс. $",log_shift,0.4727,0.473,0.0003
Индекс семьи,"Среднегодовой доход, тыс. $",z4,0.4727,0.473,0.0003
Индекс кредитного оптимизма,Доля от дохода семьи которая тратится на продо...,low_q25,0.9173,0.9175,0.0002
Индекс кредитного оптимизма,Доля от дохода семьи которая тратится на продо...,hinge_q25,0.9173,0.9175,0.0002
Индекс семьи,"Среднегодовой доход, тыс. $",low_q25,0.4727,0.4728,0.0001
Индекс семьи,"Среднегодовой доход, тыс. $",hinge_q25,0.4727,0.4728,0.0001
Индекс кредитного оптимизма,Доля от дохода семьи которая тратится на продо...,sqrt,0.9173,0.9173,0.0
Индекс кредитного оптимизма,Доля от дохода семьи которая тратится на продо...,cbrt,0.9173,0.9173,0.0
Индекс кредитного оптимизма,Доля от дохода семьи которая тратится на продо...,log1p,0.9173,0.9173,0.0
