state,Spearman,abs_Spearman,p-value
Оценка социальной поддержки,0.765,0.765,0.0
Чувство технологического прогресса,0.7124,0.7124,0.0
Индекс кредитного оптимизма,0.6945,0.6945,0.0
Индекс продовольственной безопасности,0.599,0.599,0.0
Индекс семьи,0.5423,0.5423,0.0
Чувство неравенства доходов в обществе,-0.3723,0.3723,0.0
Свобода граждан самостоятельно принимать жизне...,0.1782,0.1782,0.0
Оценка риска безработицы,-0.1757,0.1757,0.0
Оценка благополучия,0.1318,0.1318,0.0
Ожидаемая продолжительность здоровой жизни,0.0663,0.0663,0.0039
Индекс Щедрости,0.0369,0.0369,0.1083
Индекс отношения к коррупции,-0.0263,0.0263,0.2514
